Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken,window_size
LinearSVC,0.6481069042316259,0.560994632288847,0.560994632288847,0.6334099370342875,0.014760017395019531,30
BernoulliNB,0.6035634743875279,0.5605932008992063,0.5605932008992063,0.6099301339894472,0.013014078140258789,30
Perceptron,0.5567928730512249,0.5528857182181035,0.5528857182181034,0.5720529193589345,0.01415872573852539,30
RandomForestClassifier,0.6191536748329621,0.5511767674450613,0.5511767674450612,0.6156725404672153,0.31381797790527344,30
LGBMClassifier,0.6258351893095768,0.5484929118686057,0.5484929118686057,0.6175639329791915,0.08552289009094238,30
CalibratedClassifierCV,0.643652561247216,0.5482749919713722,0.5482749919713722,0.62413731336047,0.03961896896362305,30
AdaBoostClassifier,0.6169265033407573,0.5476556406844979,0.5476556406844978,0.6130056102379025,0.13870787620544434,30
ExtraTreesClassifier,0.6124721603563474,0.5443983116942699,0.5443983116942699,0.6093479553021346,0.23065805435180664,30
QuadraticDiscriminantAnalysis,0.6503340757238307,0.5399137495985686,0.5399137495985686,0.6198160974822335,0.025442123413085938,30
KNeighborsClassifier,0.5924276169265034,0.5354177180345919,0.5354177180345919,0.5949796023863974,0.042217254638671875,30
XGBClassifier,0.5968819599109132,0.5348901224939212,0.5348901224939211,0.597260377005871,0.10789895057678223,30
NuSVC,0.5857461024498887,0.5324241868146993,0.5324241868146993,0.5900143645261996,0.3791210651397705,30
BaggingClassifier,0.5590200445434298,0.5261274487314769,0.5261274487314768,0.5704943871128387,0.09125709533691406,30
SVC,0.6169265033407573,0.5192687067027573,0.5192687067027573,0.5972418222320329,0.17592477798461914,30
DummyClassifier,0.6837416481069042,0.5,0.5,0.5553139840444963,0.010350704193115234,30
PassiveAggressiveClassifier,0.5367483296213809,0.4984860301876405,0.4984860301876405,0.5483797134732316,0.017622947692871094,30
LabelPropagation,0.5256124721603563,0.49412763224296924,0.4941276322429692,0.5392966546718498,0.08355093002319336,30
LabelSpreading,0.5256124721603563,0.49412763224296924,0.4941276322429692,0.5392966546718498,0.14716720581054688,30
ExtraTreeClassifier,0.5367483296213809,0.4928086433912924,0.4928086433912924,0.5469795990624932,0.012269020080566406,30
