Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken,window_size
DecisionTreeClassifier,0.5946547884187082,0.5711107033077947,0.5711107033077946,0.6058844280591311,0.02013421058654785,30
NearestCentroid,0.5567928730512249,0.5699178786071477,0.5699178786071478,0.5721756968643685,0.020513057708740234,30
GaussianNB,0.6258351893095768,0.5655250722576501,0.5655250722576501,0.6251157741467176,0.013077020645141602,30
LinearDiscriminantAnalysis,0.6481069042316259,0.5647795568197458,0.5647795568197458,0.635522083657428,0.019471168518066406,30
LogisticRegression,0.6458797327394209,0.5612584300591825,0.5612584300591824,0.6326944844391772,0.025913238525390625,30
RidgeClassifierCV,0.6481069042316259,0.560994632288847,0.560994632288847,0.6334099370342875,0.014817953109741211,30
RidgeClassifier,0.6481069042316259,0.560994632288847,0.560994632288847,0.6334099370342875,0.01462411880493164,30
LinearSVC,0.6481069042316259,0.560994632288847,0.560994632288847,0.6334099370342875,0.01791691780090332,30
BernoulliNB,0.6035634743875279,0.5605932008992063,0.5605932008992063,0.6099301339894472,0.01389169692993164,30
Perceptron,0.5567928730512249,0.5528857182181035,0.5528857182181034,0.5720529193589345,0.014650106430053711,30
RandomForestClassifier,0.6191536748329621,0.5511767674450613,0.5511767674450612,0.6156725404672153,0.34677696228027344,30
LGBMClassifier,0.6258351893095768,0.5484929118686057,0.5484929118686057,0.6175639329791915,0.07675790786743164,30
CalibratedClassifierCV,0.643652561247216,0.5482749919713722,0.5482749919713722,0.62413731336047,0.037451982498168945,30
AdaBoostClassifier,0.6169265033407573,0.5476556406844979,0.5476556406844978,0.6130056102379025,0.13622570037841797,30
ExtraTreesClassifier,0.6124721603563474,0.5443983116942699,0.5443983116942699,0.6093479553021346,0.24309706687927246,30
QuadraticDiscriminantAnalysis,0.6503340757238307,0.5399137495985686,0.5399137495985686,0.6198160974822335,0.015069961547851562,30
KNeighborsClassifier,0.5924276169265034,0.5354177180345919,0.5354177180345919,0.5949796023863974,0.04149508476257324,30
XGBClassifier,0.5968819599109132,0.5348901224939212,0.5348901224939211,0.597260377005871,0.10891890525817871,30
NuSVC,0.5857461024498887,0.5324241868146993,0.5324241868146993,0.5900143645261996,0.40584683418273926,30
BaggingClassifier,0.5590200445434298,0.5261274487314769,0.5261274487314768,0.5704943871128387,0.0943450927734375,30
SVC,0.6169265033407573,0.5192687067027573,0.5192687067027573,0.5972418222320329,0.17807221412658691,30
DummyClassifier,0.6837416481069042,0.5,0.5,0.5553139840444963,0.010947704315185547,30
PassiveAggressiveClassifier,0.5367483296213809,0.4984860301876405,0.4984860301876405,0.5483797134732316,0.014588117599487305,30
LabelPropagation,0.5256124721603563,0.49412763224296924,0.4941276322429692,0.5392966546718498,0.08586430549621582,30
LabelSpreading,0.5256124721603563,0.49412763224296924,0.4941276322429692,0.5392966546718498,0.13091087341308594,30
ExtraTreeClassifier,0.5367483296213809,0.4928086433912924,0.4928086433912924,0.5469795990624932,0.013622045516967773,30
