algorithm,params,silhouette_score,davies_bouldin_score,calinski_harabasz_score,average_distance_to_centroid,visualization_paths,detailed_metrics_path
kmeans,"{'n_clusters': 4, 'random_state': 42}",0.34105678878372814,0.9529151181928107,86.1413263054892,0.18299761826015065,"cluster_scatter,silhouette_plot,cluster_sizes,feature_importance,metrics_comparison",results/eda_clustering/kmeans_detailed_metrics.json
kmeans,"{'n_clusters': 2, 'random_state': 42}",0.39204130862749104,1.0733751618995429,68.4868111799482,0.2853748729307205,"cluster_scatter,silhouette_plot,cluster_sizes,feature_importance,metrics_comparison",results/eda_clustering/kmeans_detailed_metrics.json
kmeans,"{'n_clusters': 3, 'random_state': 42}",0.35796102871443575,0.8991879613733791,73.61005617688896,0.2406160343499205,"cluster_scatter,silhouette_plot,cluster_sizes,feature_importance,metrics_comparison",results/eda_clustering/kmeans_detailed_metrics.json
kmeans,"{'n_clusters': 4, 'random_state': 42}",0.39253465410168403,0.7622919042287657,95.21685727894365,0.18834447344212693,"cluster_scatter,silhouette_plot,cluster_sizes,feature_importance,metrics_comparison",results/eda_clustering/kmeans_detailed_metrics.json
kmeans,"{'n_clusters': 2, 'random_state': 42}",0.3976760560005367,1.050680708393885,73.82948956350329,0.28282126693295306,"cluster_scatter,silhouette_plot,cluster_sizes,feature_importance,metrics_comparison",results/eda_clustering/kmeans_detailed_metrics.json
kmeans,"{'n_clusters': 3, 'random_state': 42}",0.42425474357469467,0.7693747634068258,91.89740733227913,0.2087582116787647,"cluster_scatter,silhouette_plot,cluster_sizes,feature_importance,metrics_comparison",results/eda_clustering/kmeans_detailed_metrics.json
kmeans,"{'n_clusters': 4, 'random_state': 42}",0.4311464374950637,0.7879728600071938,106.61601178723987,0.17315874272191176,"cluster_scatter,silhouette_plot,cluster_sizes,feature_importance,metrics_comparison",results/eda_clustering/kmeans_detailed_metrics.json
kmeans,"{'n_clusters': 2, 'random_state': 42}",0.3632555131578023,1.1215984639712682,61.65263729205064,0.2790107421650595,"cluster_scatter,silhouette_plot,cluster_sizes,feature_importance,metrics_comparison",results/eda_clustering/kmeans_detailed_metrics.json
kmeans,"{'n_clusters': 3, 'random_state': 42}",0.38152429459832,0.858082011734678,78.54357986632392,0.22565675361148219,"cluster_scatter,silhouette_plot,cluster_sizes,feature_importance,metrics_comparison",results/eda_clustering/kmeans_detailed_metrics.json
kmeans,"{'n_clusters': 4, 'random_state': 42}",0.3977703752112599,0.8066144568158915,91.52824162949601,0.18699566270879767,"cluster_scatter,silhouette_plot,cluster_sizes,feature_importance,metrics_comparison",results/eda_clustering/kmeans_detailed_metrics.json
kmeans,"{'n_clusters': 2, 'random_state': 42}",0.415196645786273,1.0053271697752064,81.53340321314603,0.28200654905423156,"cluster_scatter,silhouette_plot,cluster_sizes,feature_importance,metrics_comparison",results/eda_clustering/kmeans_detailed_metrics.json
kmeans,"{'n_clusters': 3, 'random_state': 42}",0.4166419854048972,0.7885778337918256,86.0517721839553,0.21758631699409955,"cluster_scatter,silhouette_plot,cluster_sizes,feature_importance,metrics_comparison",results/eda_clustering/kmeans_detailed_metrics.json
kmeans,"{'n_clusters': 4, 'random_state': 42}",0.46225627122484947,0.7007472143648412,120.07012507932299,0.17043700851954757,"cluster_scatter,silhouette_plot,cluster_sizes,feature_importance,metrics_comparison",results/eda_clustering/kmeans_detailed_metrics.json
